Vaughan Barron asdfasf 83 M 498.88 61.76 285.87 40.33 480.12
Quinn Macdonald 64 401.41 186.02 310.73 197.24 418.01
Kelsie Cummings 87 M 415.92 456.82 216.58 271.56 262.10
Nelle Bush 48 M 271.36 443.12 320.42 122.49 26.05
Amy Rhodes 30 H 487.98 458.38 244.06 430.51 94.96
Bethany Fulton 34 M 140.65 456.62 162.39 138.44 364.25
Karly Davis 79 H 10.62 74.05 68.09 379.21 25.26
Russell Durham 39 M 331.90 466.86 288.95 455.75 34.22
Joelle Mathews 51 H 195.66 465.39 166.10 201.57 77.38
Barry Dillon 58 M 282.82 330.76 437.28 171.16 391.65
Hanna Wilkerson asdfadsfasdf 75 H 37.77 293.54 189.82 430.52 25.22
Jennifer Burke 21 M 142.96 454.34 260.68 486.65 442.27
Faith Ray 18 M 123.19 53.02 359.78 100.66 436.88
Porter Mcclain 68 H 468.32 30.71 481.27 268.79 425.43
Caldwell Mercer 36 H 413.54 141.89 414.58 181.72 216.80
Marshall Wilkerson 55 H 91.26 452.50 445.24 205.66 91.24
Teagan Walker 21 H 359.74 480.60 362.18 482.47 325.66
Plato Hardin 54 H 132.81 439.05 161.36 432.63 123.21
Ezra Hall 70 M 304.21 77.61 443.71 42.82 453.70
Libby Guzman 22 M 127.23 351.98 47.79 138.67 310.14
Mason Blair 42 M 455.52 484.98 383.07 30.76 28.83
Xenos Atkins 70 M 50.69 391.14 227.93 426.80 111.95
Alma Decker 90 H 342.32 345.51 112.68 354.82 176.27
Salvador Long 68 M 424.26 307.85 264.67 249.62 270.96
Kelly Whitehead 62 H 20.29 118.16 417.95 430.34 181.48
Vanna Leonard 55 H 484.28 269.50 131.83 348.41 363.22
Karina Douglas asdfsadfsadf 79 H 282.94 135.81 18.24 29.94 213.07
Kato Norman 29 M 227.54 23.62 348.42 416.06 268.15
Nina Sargent 67 M 78.19 470.80 495.71 338.33 75.63
Colleen Pierce 49 M 6.04 459.51 83.30 251.33 371.86
Lars Maynard 73 M 184.72 425.91 207.72 383.68 222.45
Jescie Spencer 50 H 353.28 169.89 366.19 116.85 245.86
Chase Bonner 87 H 106.08 499.61 88.84 60.97 138.15
Flavia Medina 80 H 317.15 219.31 312.03 12.23 127.18
Helen Haney 20 H 432.67 171.73 198.81 220.91 235.98
Yasir Gordon 65 M 197.89 176.27 62.23 96.88 493.42
Sylvia Newton 34 H 154.43 359.73 287.35 102.98 56.81
Zephr Logan 28 H 0.44 252.22 152.02 166.20 2.33
Dante Blake 65 H 403.40 407.00 299.14 293.13 23.77
Rhonda Dalton 58 M 345.95 461.39 474.97 121.87 265.43
Haviva Clarke 19 H 140.75 407.80 265.00 159.78 74.69
Mona Miranda 64 H 155.31 353.23 166.54 309.38 72.03
Zachery Franklin 26 M 67.95 435.56 129.02 344.21 335.30
Colleen Boone 83 H 350.47 388.72 177.06 325.77 68.02
Natalie Garrison 84 H 261.68 204.32 367.57 166.62 311.02
Sophia Shepherd 35 H 208.12 430.10 415.31 15.48 460.06
Yetta Watson 55 M 73.69 349.36 369.50 454.44 408.48
Rana Mayer 89 H 270.80 364.85 46.81 481.00 440.66
Ora Knowles 69 H 306.09 63.45 5.13 14.82 33.66
Maxwell Bond 43 H 411.48 47.51 192.17 469.87 108.44
Emi Barron 58 M 3.82 53.35 141.95 156.12 413.69
Carlos Fitzgerald 34 H 11.18 386.29 391.11 307.87 309.19
Mannix Mueller 62 H 154.24 241.42 426.26 178.83 287.93
Nasim Beasley 34 H 288.01 150.10 227.43 80.94 404.21
Whoopi Turner 43 H 46.08 155.35 318.56 458.06 44.43
Ali Harvey 84 H 119.36 474.76 222.96 451.36 198.12
Hashim Schroeder 48 M 304.99 344.03 186.18 450.33 374.46
Thor Mendoza 69 H 183.14 32.03 492.48 20.49 200.19
Janna King 55 H 346.84 206.24 232.26 22.84 174.53
Bevis Chang 89 H 245.62 250.85 271.35 399.26 248.60
Thor Robinson 85 H 457.54 340.89 433.66 123.58 325.08
Casey Young 66 H 242.30 314.11 50.35 62.40 404.94
Lesley Guerra 66 M 2.21 176.79 462.67 286.67 51.74
Dakota Lyons 64 H 380.23 422.63 309.80 276.85 365.32
Kasimir Kaufman 83 H 16.21 131.93 350.59 131.14 7.43
Rhea Stanley 80 H 458.50 162.64 375.56 301.17 323.99
Maya Humphrey 55 M 479.10 486.30 298.91 100.07 16.36
Vivien Ratliff 60 M 254.54 235.29 131.80 437.50 219.88
Quamar Luna 79 M 248.37 224.49 122.06 294.63 4.80
Lacy Blevins 44 H 161.23 259.85 257.16 273.02 265.46
Sylvia Glover 85 H 33.06 424.84 157.79 340.35 317.83
Ursula Hines 24 H 282.58 97.99 12.99 494.41 201.22
Upton Combs 74 M 146.84 88.42 145.31 481.98 77.04
Tate Dennis 45 M 58.29 92.30 134.91 81.12 282.42
Lars Santiago 74 M 8.99 99.55 431.21 66.63 46.65
